Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,World Bank's income classification
Afghanistan,AFG,1890,,0.28950003,
Afghanistan,AFG,1900,,0.2817936,
Afghanistan,AFG,1910,,0.30575112,
Afghanistan,AFG,1920,,0.5285062,
Afghanistan,AFG,1930,,0.31457096,
Afghanistan,AFG,1940,,0.27780205,
Afghanistan,AFG,2024,,0.52251464,
Afghanistan,AFG,2025,,0.53263086,
Afghanistan,AFG,2026,,0.5426914,
Afghanistan,AFG,2027,,0.552735,
Afghanistan,AFG,2028,,0.5626729,
Afghanistan,AFG,2029,,0.57302225,
Afghanistan,AFG,2030,,0.58395,
Afghanistan,AFG,2031,,0.59503466,
Afghanistan,AFG,2032,,0.6059606,
Afghanistan,AFG,2033,,0.61684144,
Afghanistan,AFG,2034,,0.6273891,
Afghanistan,AFG,2035,,0.6375452,
Afghanistan,AFG,2036,,0.6478392,
Afghanistan,AFG,2037,,0.6582791,
Afghanistan,AFG,2038,,0.6685867,
Afghanistan,AFG,2039,,0.6791466,
Afghanistan,AFG,2040,,0.6902753,
Afghanistan,AFG,2041,,0.70122266,
Afghanistan,AFG,2042,,0.7113874,
Afghanistan,AFG,2043,,0.72146493,
Afghanistan,AFG,2044,,0.73168147,
Afghanistan,AFG,2045,,0.7417783,
Afghanistan,AFG,2046,,0.752377,
Afghanistan,AFG,2047,,0.76308095,
Afghanistan,AFG,2048,,0.7736255,
Afghanistan,AFG,2049,,0.7847551,
Afghanistan,AFG,2050,,0.7955518,
Afghanistan,AFG,2051,,0.80537415,
Afghanistan,AFG,2052,,0.8155936,
Afghanistan,AFG,2053,,0.82651675,
Afghanistan,AFG,2054,,0.83761024,
Afghanistan,AFG,2055,,0.84884083,
Afghanistan,AFG,2056,,0.8603301,
Afghanistan,AFG,2057,,0.8719905,
Afghanistan,AFG,2058,,0.8833746,
Afghanistan,AFG,2059,,0.8940954,
Afghanistan,AFG,2060,,0.9046014,
Afghanistan,AFG,2061,,0.91506386,
Afghanistan,AFG,2062,,0.9258475,
Afghanistan,AFG,2063,,0.937143,
Afghanistan,AFG,2064,,0.9486684,
Afghanistan,AFG,2065,,0.9604603,
Afghanistan,AFG,2066,,0.9716004,
Afghanistan,AFG,2067,,0.98204273,
Afghanistan,AFG,2068,,0.99288785,
Afghanistan,AFG,2069,,1.0038832,
Afghanistan,AFG,2070,,1.0149591,
Afghanistan,AFG,2071,,1.0256798,
Afghanistan,AFG,2072,,1.0358773,
Afghanistan,AFG,2073,,1.0466304,
Afghanistan,AFG,2074,,1.0572304,
Afghanistan,AFG,2075,,1.0668056,
Afghanistan,AFG,2076,,1.0760902,
Afghanistan,AFG,2077,,1.0857635,
Afghanistan,AFG,2078,,1.0951837,
Afghanistan,AFG,2079,,1.1050167,
Afghanistan,AFG,2080,,1.1151699,
Afghanistan,AFG,2081,,1.1241736,
Afghanistan,AFG,2082,,1.1325225,
Afghanistan,AFG,2083,,1.1407883,
Afghanistan,AFG,2084,,1.1496681,
Afghanistan,AFG,2085,,1.158816,
Afghanistan,AFG,2086,,1.1669743,
Afghanistan,AFG,2087,,1.1751939,
Afghanistan,AFG,2088,,1.1837131,
Afghanistan,AFG,2089,,1.1918776,
Afghanistan,AFG,2090,,1.200445,
Afghanistan,AFG,2091,,1.2089585,
Afghanistan,AFG,2092,,1.2169724,
Afghanistan,AFG,2093,,1.2250015,
Afghanistan,AFG,2094,,1.2329617,
Afghanistan,AFG,2095,,1.240695,
Afghanistan,AFG,2096,,1.2482849,
Afghanistan,AFG,2097,,1.2559823,
Afghanistan,AFG,2098,,1.2638041,
Afghanistan,AFG,2099,,1.2716577,
Afghanistan,AFG,2100,,1.2791226,
Africa,,1884,0.0021778631,,
Africa,,1885,0.0036022414,,
Africa,,1886,0.004612761,,
Africa,,1887,0.004395201,,
Africa,,1888,0.006712849,,
Africa,,1889,0.010978129,,
Africa,,1890,0.022714373,8.72218,
Africa,,1891,0.021680225,,
Africa,,1892,0.034786265,,
Africa,,1893,0.132037,,
Africa,,1894,0.17235842,,
Africa,,1895,0.2232355,,
Africa,,1896,0.27563125,,
Africa,,1897,0.29538655,,
Africa,,1898,0.3545957,,
Africa,,1899,0.29616657,,
Africa,,1900,0.118802704,8.305554,
Africa,,1901,0.19315997,,
Africa,,1902,0.28078654,,
Africa,,1903,0.34906095,,
Africa,,1904,0.38954368,,
Africa,,1905,0.42111626,,
Africa,,1906,0.4605045,,
Africa,,1907,0.44582096,,
Africa,,1908,0.48113492,,
Africa,,1909,0.5303085,,
Africa,,1910,0.5721151,8.002824,
Africa,,1911,0.5457882,,
Africa,,1912,0.5530179,,
Africa,,1913,0.55753964,,
Africa,,1914,0.61292833,,
Africa,,1915,0.62434196,,
Africa,,1916,0.68560123,,
Africa,,1917,0.71428686,,
Africa,,1918,0.7064825,,
Africa,,1919,0.83863425,,
Africa,,1920,0.7929021,7.825538,
Africa,,1921,0.90096503,,
Africa,,1922,0.7365237,,
Africa,,1923,0.7869658,,
Africa,,1924,0.82724506,,
Africa,,1925,0.8604044,,
Africa,,1926,0.93647325,,
Africa,,1927,0.84328806,,
Africa,,1928,0.8700602,,
Africa,,1929,0.8348846,,
Africa,,1930,0.85131013,8.06721,
Africa,,1931,0.83246803,,
Africa,,1932,0.8338915,,
Africa,,1933,0.84727365,,
Africa,,1934,0.88997847,,
Africa,,1935,0.9361824,,
Africa,,1936,0.92720044,,
Africa,,1937,0.9305518,,
Africa,,1938,1.040594,,
Africa,,1939,1.0481323,,
Africa,,1940,1.0164299,8.3020935,
Africa,,1941,1.0806652,,
Africa,,1942,1.1805841,,
Africa,,1943,1.1845595,,
Africa,,1944,1.2907137,,
Africa,,1945,1.5743124,,
Africa,,1946,1.4789774,,
Africa,,1947,1.315238,,
Africa,,1948,1.3167154,,
Africa,,1949,1.4858379,,
Africa,,1950,1.5997319,9.136316,
Africa,,1951,1.5846808,9.166893,
Africa,,1952,1.7058505,9.192413,
Africa,,1953,1.6840917,9.213198,
Africa,,1954,1.7311382,9.233653,
Africa,,1955,1.7383705,9.252498,
Africa,,1956,1.704593,9.274911,
Africa,,1957,1.7297735,9.294235,
Africa,,1958,1.7662779,9.310163,
Africa,,1959,1.6696378,9.348503,
Africa,,1960,1.6679133,9.415521,
Africa,,1961,1.7205906,9.488628,
Africa,,1962,1.706474,9.539681,
Africa,,1963,1.7175299,9.564352,
Africa,,1964,1.7889044,9.58989,
Africa,,1965,1.888798,9.626941,
Africa,,1966,1.8636826,9.672397,
Africa,,1967,1.9370601,9.726775,
Africa,,1968,1.9935355,9.782303,
Africa,,1969,2.0180273,9.836535,
Africa,,1970,2.0296888,9.894005,
Africa,,1971,2.1389062,9.956011,
Africa,,1972,2.1676226,10.021338,
Africa,,1973,2.211408,10.095426,
Africa,,1974,2.2819448,10.180881,
Africa,,1975,2.269529,10.279064,
Africa,,1976,2.3342712,10.387823,
Africa,,1977,2.3402743,10.494897,
Africa,,1978,2.4245195,10.613441,
Africa,,1979,2.5446799,10.7403965,
Africa,,1980,2.7504568,10.860937,
Africa,,1981,2.8853762,10.987977,
Africa,,1982,3.0309265,11.12064,
Africa,,1983,3.1319196,11.245388,
Africa,,1984,3.3061779,11.368009,
Africa,,1985,3.2795646,11.494568,
Africa,,1986,3.3479388,11.616757,
Africa,,1987,3.24838,11.735269,
Africa,,1988,3.284442,11.851197,
Africa,,1989,3.1205351,11.966135,
Africa,,1990,2.8964942,12.083317,
Africa,,1991,2.9658732,12.200333,
Africa,,1992,2.9592283,12.323998,
Africa,,1993,3.1044486,12.458484,
Africa,,1994,3.4368532,12.589132,
Africa,,1995,3.5889275,12.722883,
Africa,,1996,3.5958374,12.863173,
Africa,,1997,3.663396,13.002739,
Africa,,1998,3.7544868,13.150873,
Africa,,1999,3.6207004,13.303974,
Africa,,2000,3.6488853,13.457919,
Africa,,2001,3.5812314,13.616291,
Africa,,2002,3.4250495,13.781138,
Africa,,2003,3.576664,13.951464,
Africa,,2004,3.652233,14.127711,
Africa,,2005,3.577221,14.309259,
Africa,,2006,3.5626278,14.493582,
Africa,,2007,3.541819,14.681227,
Africa,,2008,3.6626172,14.874305,
Africa,,2009,3.703802,15.070142,
Africa,,2010,3.6475375,15.269975,
Africa,,2011,3.6442192,15.4712515,
Africa,,2012,3.6255643,15.675767,
Africa,,2013,3.6330926,15.891571,
Africa,,2014,3.8289,16.11057,
Africa,,2015,3.7640605,16.331932,
Africa,,2016,3.8827255,16.553543,
Africa,,2017,3.871132,16.779575,
Africa,,2018,3.7752197,17.01716,
Africa,,2019,3.9871733,17.257137,
Africa,,2020,3.859711,17.507559,
Africa,,2021,3.8969083,17.773115,
Africa,,2022,3.8411252,18.03778,
Africa,,2023,3.7541153,18.299793,
Africa,,-10000,,24.850216,
Africa,,-9000,,21.356644,
Africa,,-8000,,18.530033,
Africa,,-7000,,16.201897,
Africa,,-6000,,14.1190195,
Africa,,-5000,,12.231353,
Africa,,-4000,,10.928226,
Africa,,-3000,,11.028761,
Africa,,-2000,,9.606731,
Africa,,-1000,,8.978535,
Africa,,0,,6.7850733,
Africa,,100,,7.231993,
Africa,,200,,7.775377,
Africa,,300,,8.646138,
Africa,,400,,8.6711,
Africa,,500,,8.872221,
Africa,,600,,9.017638,
Africa,,700,,10.091109,
Africa,,800,,11.420134,
Africa,,900,,11.779814,
Africa,,1000,,12.599321,
Africa,,1100,,10.889716,
Africa,,1200,,10.440623,
Africa,,1300,,11.359003,
Africa,,1400,,12.596302,
Africa,,1500,,11.827377,
Africa,,1600,,13.455776,
Africa,,1700,,13.346481,
Africa,,1710,,12.775656,
Africa,,1720,,12.219287,
Africa,,1730,,11.85281,
Africa,,1740,,11.37836,
Africa,,1750,,10.6666565,
Africa,,1760,,10.258922,
Africa,,1770,,9.838332,
Africa,,1780,,9.115626,
Africa,,1790,,8.797155,
Africa,,1800,,8.511239,
Africa,,1810,,8.007094,
Africa,,1820,,7.9219995,
Africa,,1830,,7.9687214,
Africa,,1840,,8.330382,
Africa,,1850,,8.725579,
Africa,,1860,,8.691477,
Africa,,1870,,9.065162,
Africa,,1880,,8.978975,
Africa,,2024,,18.563417,
Africa,,2025,,18.82824,
Africa,,2026,,19.094648,
Africa,,2027,,19.360067,
Africa,,2028,,19.624895,
Africa,,2029,,19.89028,
Africa,,2030,,20.156242,
Africa,,2031,,20.422947,
Africa,,2032,,20.690165,
Africa,,2033,,20.957325,
Africa,,2034,,21.225004,
Africa,,2035,,21.49353,
Africa,,2036,,21.762217,
Africa,,2037,,22.0306,
Africa,,2038,,22.298811,
Africa,,2039,,22.567068,
Africa,,2040,,22.835459,
Africa,,2041,,23.103838,
Africa,,2042,,23.372139,
Africa,,2043,,23.64058,
Africa,,2044,,23.909092,
Africa,,2045,,24.177214,
Africa,,2046,,24.445229,
Africa,,2047,,24.714003,
Africa,,2048,,24.98348,
Africa,,2049,,25.253132,
Africa,,2050,,25.523087,
Africa,,2051,,25.794239,
Africa,,2052,,26.066338,
Africa,,2053,,26.338322,
Africa,,2054,,26.610758,
Africa,,2055,,26.883894,
Africa,,2056,,27.15701,
Africa,,2057,,27.42942,
Africa,,2058,,27.701239,
Africa,,2059,,27.973522,
Africa,,2060,,28.245386,
Africa,,2061,,28.516151,
Africa,,2062,,28.785297,
Africa,,2063,,29.052044,
Africa,,2064,,29.317257,
Africa,,2065,,29.58083,
Africa,,2066,,29.842278,
Africa,,2067,,30.101912,
Africa,,2068,,30.359354,
Africa,,2069,,30.61457,
Africa,,2070,,30.868002,
Africa,,2071,,31.119682,
Africa,,2072,,31.369787,
Africa,,2073,,31.617804,
Africa,,2074,,31.864061,
Africa,,2075,,32.10881,
Africa,,2076,,32.351284,
Africa,,2077,,32.59226,
Africa,,2078,,32.832054,
Africa,,2079,,33.069393,
Africa,,2080,,33.304237,
Africa,,2081,,33.53685,
Africa,,2082,,33.76748,
Africa,,2083,,33.996403,
Africa,,2084,,34.222763,
Africa,,2085,,34.44684,
Africa,,2086,,34.66923,
Africa,,2087,,34.88841,
Africa,,2088,,35.10343,
Africa,,2089,,35.31573,
Africa,,2090,,35.525703,
Africa,,2091,,35.73206,
Africa,,2092,,35.93484,
Africa,,2093,,36.13481,
Africa,,2094,,36.332134,
Africa,,2095,,36.52676,
Africa,,2096,,36.71922,
Africa,,2097,,36.90925,
Africa,,2098,,37.096596,
Africa,,2099,,37.281345,
Africa,,2100,,37.463886,
Africa (UN),,1950,,9.136299,
Africa (UN),,1951,,9.166877,
Africa (UN),,1952,,9.1924,
Africa (UN),,1953,,9.213184,
Africa (UN),,1954,,9.233639,
Africa (UN),,1955,,9.252484,
Africa (UN),,1956,,9.274899,
Africa (UN),,1957,,9.294221,
Africa (UN),,1958,,9.310151,
Africa (UN),,1959,,9.348491,
Africa (UN),,1960,,9.415509,
Africa (UN),,1961,,9.488617,
Africa (UN),,1962,,9.539671,
Africa (UN),,1963,,9.564342,
Africa (UN),,1964,,9.589879,
Africa (UN),,1965,,9.62693,
Africa (UN),,1966,,9.672386,
Africa (UN),,1967,,9.726765,
Africa (UN),,1968,,9.782294,
Africa (UN),,1969,,9.836527,
Africa (UN),,1970,,9.893996,
Africa (UN),,1971,,9.956001,
Africa (UN),,1972,,10.02133,
Africa (UN),,1973,,10.095418,
Africa (UN),,1974,,10.180871,
Africa (UN),,1975,,10.279056,
Africa (UN),,1976,,10.3878145,
Africa (UN),,1977,,10.494889,
Africa (UN),,1978,,10.613434,
Africa (UN),,1979,,10.74039,
Africa (UN),,1980,,10.8609295,
Africa (UN),,1981,,10.987969,
Africa (UN),,1982,,11.120634,
Africa (UN),,1983,,11.245381,
Africa (UN),,1984,,11.368002,
Africa (UN),,1985,,11.494563,
Africa (UN),,1986,,11.616752,
Africa (UN),,1987,,11.735263,
Africa (UN),,1988,,11.8511915,
Africa (UN),,1989,,11.966129,
Africa (UN),,1990,,12.083311,
Africa (UN),,1991,,12.200327,
Africa (UN),,1992,,12.323994,
Africa (UN),,1993,,12.45848,
Africa (UN),,1994,,12.589128,
Africa (UN),,1995,,12.722878,
Africa (UN),,1996,,12.863169,
Africa (UN),,1997,,13.002734,
Africa (UN),,1998,,13.150868,
Africa (UN),,1999,,13.303969,
Africa (UN),,2000,,13.457914,
Africa (UN),,2001,,13.616286,
Africa (UN),,2002,,13.781134,
Africa (UN),,2003,,13.951461,
Africa (UN),,2004,,14.1277075,
Africa (UN),,2005,,14.309256,
Africa (UN),,2006,,14.493579,
Africa (UN),,2007,,14.681224,
Africa (UN),,2008,,14.874302,
Africa (UN),,2009,,15.070139,
Africa (UN),,2010,,15.269972,
Africa (UN),,2011,,15.471248,
Africa (UN),,2012,,15.675763,
Africa (UN),,2013,,15.891567,
Africa (UN),,2014,,16.110569,
Africa (UN),,2015,,16.33193,
Africa (UN),,2016,,16.553541,
Africa (UN),,2017,,16.779573,
Africa (UN),,2018,,17.017159,
Africa (UN),,2019,,17.257135,
Africa (UN),,2020,,17.507555,
Africa (UN),,2021,,17.773113,
Africa (UN),,2022,,18.037779,
Africa (UN),,2023,,18.29979,
Africa (UN),,2024,,18.563416,
Africa (UN),,2025,,18.828238,
Africa (UN),,2026,,19.094646,
Africa (UN),,2027,,19.360064,
Africa (UN),,2028,,19.624893,
Africa (UN),,2029,,19.890278,
Africa (UN),,2030,,20.15624,
Africa (UN),,2031,,20.422943,
Africa (UN),,2032,,20.690163,
Africa (UN),,2033,,20.957323,
Africa (UN),,2034,,21.225002,
Africa (UN),,2035,,21.493528,
Africa (UN),,2036,,21.762215,
Africa (UN),,2037,,22.030596,
Africa (UN),,2038,,22.298811,
Africa (UN),,2039,,22.567066,
Africa (UN),,2040,,22.835457,
Africa (UN),,2041,,23.103836,
Africa (UN),,2042,,23.372137,
Africa (UN),,2043,,23.640577,
Africa (UN),,2044,,23.90909,
Africa (UN),,2045,,24.177212,
Africa (UN),,2046,,24.445227,
Africa (UN),,2047,,24.714003,
Africa (UN),,2048,,24.983479,
Africa (UN),,2049,,25.25313,
Africa (UN),,2050,,25.523087,
Africa (UN),,2051,,25.794239,
Africa (UN),,2052,,26.066336,
Africa (UN),,2053,,26.33832,
Africa (UN),,2054,,26.610756,
Africa (UN),,2055,,26.883892,
Africa (UN),,2056,,27.15701,
Africa (UN),,2057,,27.429419,
Africa (UN),,2058,,27.701237,
Africa (UN),,2059,,27.97352,
Africa (UN),,2060,,28.245384,
Africa (UN),,2061,,28.516151,
Africa (UN),,2062,,28.785295,
Africa (UN),,2063,,29.052042,
Africa (UN),,2064,,29.317257,
Africa (UN),,2065,,29.58083,
Africa (UN),,2066,,29.842278,
Africa (UN),,2067,,30.101912,
Africa (UN),,2068,,30.359354,
Africa (UN),,2069,,30.614569,
Africa (UN),,2070,,30.868002,
Africa (UN),,2071,,31.11968,
Africa (UN),,2072,,31.369787,
Africa (UN),,2073,,31.617802,
Africa (UN),,2074,,31.864061,
Africa (UN),,2075,,32.108807,
Africa (UN),,2076,,32.351284,
Africa (UN),,2077,,32.59226,
Africa (UN),,2078,,32.832054,
Africa (UN),,2079,,33.06939,
Africa (UN),,2080,,33.304237,
Africa (UN),,2081,,33.53685,
Africa (UN),,2082,,33.76748,
Africa (UN),,2083,,33.996403,
Africa (UN),,2084,,34.222763,
Africa (UN),,2085,,34.446835,
Africa (UN),,2086,,34.66923,
Africa (UN),,2087,,34.88841,
Africa (UN),,2088,,35.10343,
Africa (UN),,2089,,35.31573,
Africa (UN),,2090,,35.525703,
Africa (UN),,2091,,35.73206,
Africa (UN),,2092,,35.934837,
Africa (UN),,2093,,36.13481,
Africa (UN),,2094,,36.332134,
Africa (UN),,2095,,36.52676,
Africa (UN),,2096,,36.71922,
Africa (UN),,2097,,36.90925,
Africa (UN),,2098,,37.096596,
Africa (UN),,2099,,37.281345,
Africa (UN),,2100,,37.463882,
Akrotiri and Dhekelia,OWID_AKD,1800,,0.00038852548,
Akrotiri and Dhekelia,OWID_AKD,2005,,0.00023834934,
Akrotiri and Dhekelia,OWID_AKD,2008,,0.00022938267,
Albania,ALB,1933,0.0002179212,,
Albania,ALB,1934,0.00020042738,,
Albania,ALB,1935,0.0004776129,,
Albania,ALB,1936,0.0030468656,,
Albania,ALB,1937,0.0065987054,,
Albania,ALB,1938,0.008229583,,
Albania,ALB,1939,0.009672012,,
Albania,ALB,1940,0.014176943,0.047277298,
Albania,ALB,1941,0.012531974,,
Albania,ALB,1942,0.014928017,,
Albania,ALB,1943,0.0090963375,,
Albania,ALB,1944,0.0029808893,,
Albania,ALB,1945,0.0028189132,,
Albania,ALB,1946,0.010494588,,
Albania,ALB,1947,0.017946856,,
Albania,ALB,1948,0.012913048,,
Albania,ALB,1949,0.019502712,,
Albania,ALB,1950,0.0050035887,0.05005245,
Albania,ALB,1951,0.0063149026,0.05031142,
Albania,ALB,1952,0.005777677,0.050631784,
Albania,ALB,1953,0.0062243296,0.05100713,
Albania,ALB,1954,0.0073923985,0.051419996,
Albania,ALB,1955,0.008906707,0.05177899,
Albania,ALB,1956,0.010582735,0.052114826,
Albania,ALB,1957,0.018393261,0.052511476,
Albania,ALB,1958,0.014273948,0.05303499,
Albania,ALB,1959,0.016300052,0.053777806,
Albania,ALB,1960,0.021542866,0.054697692,
Albania,ALB,1961,0.024200985,0.055428132,
Albania,ALB,1962,0.02525557,0.05582866,
Albania,ALB,1963,0.02026554,0.056103878,
Albania,ALB,1964,0.018612418,0.056408398,
Albania,ALB,1965,0.019204631,0.056809083,
Albania,ALB,1966,0.021492498,0.057286236,
Albania,ALB,1967,0.021879645,0.057825632,
Albania,ALB,1968,0.023782616,0.05835655,
Albania,ALB,1969,0.023552926,0.05876198,
Albania,ALB,1970,0.025098696,0.059036907,
Albania,ALB,1971,0.028044788,0.059286054,
Albania,ALB,1972,0.034749564,0.059540078,
Albania,ALB,1973,0.030941628,0.059786394,
Albania,ALB,1974,0.025521684,0.06003874,
Albania,ALB,1975,0.02692335,0.060305174,
Albania,ALB,1976,0.027501069,0.06057994,
Albania,ALB,1977,0.030906834,0.060850732,
Albania,ALB,1978,0.034040306,0.061150078,
Albania,ALB,1979,0.03867593,0.061379574,
Albania,ALB,1980,0.026532728,0.061503265,
Albania,ALB,1981,0.038583077,0.06161515,
Albania,ALB,1982,0.038723804,0.061719306,
Albania,ALB,1983,0.04017926,0.06184642,
Albania,ALB,1984,0.039830934,0.062000256,
Albania,ALB,1985,0.038802568,0.06215404,
Albania,ALB,1986,0.039088484,0.062275387,
Albania,ALB,1987,0.035044964,0.062356457,
Albania,ALB,1988,0.033186227,0.062484026,
Albania,ALB,1989,0.040140774,0.06228699,
Albania,ALB,1990,0.024288816,0.06152562,Lower-middle-income countries
Albania,ALB,1991,0.018503437,0.060578834,Lower-middle-income countries
Albania,ALB,1992,0.011173192,0.059617,Lower-middle-income countries
Albania,ALB,1993,0.010274305,0.058621187,Low-income countries
Albania,ALB,1994,0.00836694,0.057605278,Low-income countries
Albania,ALB,1995,0.008877519,0.056583427,Low-income countries
Albania,ALB,1996,0.008316819,0.055557173,Lower-middle-income countries
Albania,ALB,1997,0.0063233133,0.054511067,Low-income countries
Albania,ALB,1998,0.0072199022,0.05343928,Lower-middle-income countries
